train_r2,test_r2,train_loss,test_loss
0.4798185004607831,0.7595733187401282,2.165296919643879,2.4293301478028297
0.6975403339150412,0.7629267607618724,2.063758432865143,2.53366332501173
0.7722790608089126,0.7802696177235741,1.3205020986497402,2.413323551416397
0.823000262549729,0.7977172747458838,0.853751115500927,2.214966908097267
0.8638854712629882,0.8043720679630935,0.5255296379327774,2.08683443069458
0.9000493722383058,0.7935311329279325,0.42008192278444767,2.157547652721405
0.9143041943476684,0.7477230670251588,0.4318814240396023,2.7006514370441437
0.9065937933794783,0.7329339645923479,0.5372800827026367,2.6529807448387146
0.8618311524608702,0.7842505634517083,0.7736225612461567,2.1149942725896835
0.8684875714923048,0.7567064454634935,0.6994597166776657,2.479638382792473
0.8733671302411532,0.7010265726319856,0.7688552066683769,3.0609342604875565
0.855382800656218,0.7463561136979001,0.6856024041771889,2.620430663228035
0.8674564310244185,0.7096366004446074,0.7046921774744987,3.018482580780983
0.8717861340202916,0.7235874477893155,0.8492906168103218,2.860966742038727
0.8701657528371569,0.7478719235684759,0.8719811886548996,2.4344357773661613
0.8650850045669068,0.6925404034715446,0.7921027541160583,2.602543219923973
0.8440791208499938,0.6848394572720289,0.9257950708270073,2.6610483825206757
0.8457617828633782,0.727021306994353,0.9009117893874645,2.4663704931735992
0.8498127815986125,0.7316604452575395,0.7995686046779156,2.645559072494507
0.8545951292622204,0.7607819563150968,0.7999056950211525,2.2708304971456528
0.8558221417091814,0.7313873531113597,0.7629689145833254,2.395802289247513
0.8439297623729599,0.6651544679820329,0.8315193951129913,2.824880599975586
0.8426577290992967,0.7246057820755372,0.7664117962121964,2.637313187122345
0.8380974460010773,0.7340599812560286,0.7306434735655785,2.3660800009965897
0.8551468041581446,0.7287905193898476,0.7695305049419403,2.5967438593506813
0.843248806301209,0.7196646004635168,0.7605864517390728,2.8459764569997787
0.8501474166807468,0.7314820128370431,0.7339295297861099,2.57095043361187
0.8310709998427117,0.6569701163997037,0.8470669314265251,3.1427579522132874
0.8194540705616729,0.6859914586714162,0.881096601486206,3.03268501162529
0.8273493742369664,0.7143396550424792,0.6924501396715641,2.7240740060806274
0.8445180455319888,0.6379733851857978,0.771094799041748,3.0441025346517563
0.8364188771775763,0.6561788651803244,0.7573575302958488,3.272557720541954
0.8310530233224857,0.6888355352298627,0.6811784990131855,2.9280402809381485
0.8462593852100442,0.6637350833760955,0.6337920278310776,3.1464030891656876
0.8549321313651742,0.6767374839122311,0.741528756916523,2.9871249198913574
0.8201270227105453,0.684579751892556,0.7771596238017082,2.917152002453804
0.816785736764456,0.7113279287339263,0.7715224996209145,2.7789354026317596
0.8261402918403988,0.6930997348587452,0.7529599666595459,2.876250758767128
0.8347905658988082,0.7002987485535084,0.7189971879124641,2.9343847185373306
0.837236679053381,0.6515622866707993,0.6754878610372543,3.2978881150484085
0.8380946612525414,0.6681815567548619,0.6677819266915321,3.2500558644533157
0.8289092893447295,0.6625529834650669,0.6937951222062111,3.092767208814621
0.8377141596073392,0.7017182964943255,0.7064176052808762,2.7135022580623627
0.8439093091824963,0.6928540897829323,0.7504205629229546,3.0021651536226273
0.8339753977073464,0.6739958901490604,0.6072155125439167,2.840933069586754
0.8378059276443236,0.6709974698004726,0.6333015710115433,3.1395970284938812
0.8364241222412006,0.6972804352169637,0.7481914088129997,2.681254416704178
0.8266545453629419,0.6510668644088402,0.9978710785508156,3.3548439294099808
0.8256201252641776,0.6743167480967966,0.8587056025862694,2.951552703976631
0.8104127889936835,0.6832458358728848,0.8695888966321945,2.9242747724056244
0.8353718717311416,0.70895580910426,0.539244880899787,2.732020430266857
0.8669583644583254,0.7045183782706643,0.5059514828026295,2.7256811559200287
0.8804951176218488,0.7041092824560584,0.46997059881687164,2.6864385306835175
0.8881856214947164,0.7037931604217111,0.47904267348349094,2.6779160127043724
0.8934388779623932,0.7020818061214218,0.45515570789575577,2.6824565306305885
0.8994611472295267,0.7035307387409746,0.4355189260095358,2.691076122224331
0.9023443378678354,0.7071348372991169,0.4201442003250122,2.653374992311001
0.9043316877733769,0.7036299818088982,0.43440213054418564,2.683680571615696
